route,year
"BC(03/04,5350m),C2(12/04,6300m),C3(7300m),C4(06/05,7900m),Smt(21/05)",2016
"BC(14/04,5350m),C1(19/04,6100m),C2(29/04,6400m),C3(14/05,7300m),C4(15/05,7900m),Smt(24/05)",2016
"BC(01/04,5350m),C1(03/04,6100m),C2(05/04,6400m),C3(17/04,7400m),C4(07/05,7900m),Smt(17,24/05)",2016
"BC(14/04,5350m),C1(21/04,6100m),C2(22/04,6500m),C3(04/05,7300m),C4(17/05,7900m),Smt(18/05)",2016
"BC(01/04,5375m),C1(06/04,5975m),C2(17/04,6500m),C3(20/04,7200m),C4(20/05,8000m),Smt(21/05)",2016
"BC(05/04,5350m),C1(17/04,6400m),C3(25/04,7300m),C4(11/05,7900m),Smt(26/05)",2016
"BC(05/04,5400m),C1(08,11/04,6050m),C2(15/04,6400m),C3(22/04,7300m),C4(29/04,7950m),Smt(16/05)",2016
"BC(05/04,5340m),C1(11/04,6100m),C2(17/04,6400m),C3(29/04,7340m),C4(20/05,7950m),Smt(22/05)",2016
"BC(15/04,5240m),C1(17/04),C2(18/04,5500m),C3(19/04,6400m),C4(22/04,7040m),C5(04/05,7450m),C6(16/05,8200m),Smt(17-19/05)",2016
